"G₁","G₂","同型?","SCh一致?","判定"
"S₃（6元）","D₄（8元）","非同型","不一致","✓ 区別できた"
"S₃（6元）","Q₈（8元）","非同型","不一致","✓ 区別できた"
"S₃（6元）","Z₆（6元）","非同型","不一致","✓ 区別できた"
"S₃（6元）","Z₈（8元）","非同型","不一致","✓ 区別できた"
"S₃（6元）","Z₄×Z₂（8元）","非同型","不一致","✓ 区別できた"
"S₃（6元）","Z₄（4元）","非同型","不一致","✓ 区別できた"
"S₃（6元）","V₄=Z₂×Z₂（4元）","非同型","不一致","✓ 区別できた"
"D₄（8元）","Q₈（8元）","非同型","不一致","✓ 区別できた"
"D₄（8元）","Z₆（6元）","非同型","不一致","✓ 区別できた"
"D₄（8元）","Z₈（8元）","非同型","不一致","✓ 区別できた"
"D₄（8元）","Z₄×Z₂（8元）","非同型","不一致","✓ 区別できた"
"D₄（8元）","Z₄（4元）","非同型","不一致","✓ 区別できた"
"D₄（8元）","V₄=Z₂×Z₂（4元）","非同型","不一致","✓ 区別できた"
"Q₈（8元）","Z₆（6元）","非同型","不一致","✓ 区別できた"
"Q₈（8元）","Z₈（8元）","非同型","不一致","✓ 区別できた"
"Q₈（8元）","Z₄×Z₂（8元）","非同型","不一致","✓ 区別できた"
"Q₈（8元）","Z₄（4元）","非同型","不一致","✓ 区別できた"
"Q₈（8元）","V₄=Z₂×Z₂（4元）","非同型","不一致","✓ 区別できた"
"Z₆（6元）","Z₈（8元）","非同型","不一致","✓ 区別できた"
"Z₆（6元）","Z₄×Z₂（8元）","非同型","不一致","✓ 区別できた"
"Z₆（6元）","Z₄（4元）","非同型","不一致","✓ 区別できた"
"Z₆（6元）","V₄=Z₂×Z₂（4元）","非同型","不一致","✓ 区別できた"
"Z₈（8元）","Z₄×Z₂（8元）","非同型","不一致","✓ 区別できた"
"Z₈（8元）","Z₄（4元）","非同型","不一致","✓ 区別できた"
"Z₈（8元）","V₄=Z₂×Z₂（4元）","非同型","不一致","✓ 区別できた"
"Z₄×Z₂（8元）","Z₄（4元）","非同型","不一致","✓ 区別できた"
"Z₄×Z₂（8元）","V₄=Z₂×Z₂（4元）","非同型","不一致","✓ 区別できた"
"Z₄（4元）","V₄=Z₂×Z₂（4元）","非同型","不一致","✓ 区別できた"