"群","セクト","位数","|H₁|","|Hₙ|","lcm","Thm2.6","irredundant","n×max","Thm3.9","Gとの差","Thm4.32"
"Q₈（8元）","{1}","1","1","1","1","成立","yes","1","成立","7","成立"
"Q₈（8元）","{1,-1}","2","2","2","2","成立","yes","2","成立","6","成立"
"Q₈（8元）","{1,-1,i,-i}","4","4","4","4","成立","yes","4","成立","4","成立"
"Q₈（8元）","{1,-1,j,-j}","4","4","4","4","成立","yes","4","成立","4","成立"
"Q₈（8元）","{1,-1,k,-k}","4","4","4","4","成立","yes","4","成立","4","成立"
"Q₈（8元）","{1,-1,i,-i,j,-j,k,-k}","8","8","8","8","成立","yes","8","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1}","1","1","1","1","成立","no","2","成立","7","成立"
"Q₈（8元）","{1}×{1,-1}","2","1","2","2","成立","no","4","成立","6","成立"
"Q₈（8元）","{1}×{1,-1,i,-i}","4","1","4","4","成立","no","8","成立","4","成立"
"Q₈（8元）","{1}×{1,-1,j,-j}","4","1","4","4","成立","no","8","成立","4","成立"
"Q₈（8元）","{1}×{1,-1,k,-k}","4","1","4","4","成立","no","8","成立","4","成立"
"Q₈（8元）","{1}×{1,-1,i,-i,j,-j,k,-k}","8","1","8","8","成立","no","16","成立","(G自体)","成立"
"Q₈（8元）","{1,-1}×{1,-1}","2","2","2","2","成立","no","4","成立","6","成立"
"Q₈（8元）","{1,-1}×{1,-1,i,-i}","4","2","4","4","成立","no","8","成立","4","成立"
"Q₈（8元）","{1,-1}×{1,-1,j,-j}","4","2","4","4","成立","no","8","成立","4","成立"
"Q₈（8元）","{1,-1}×{1,-1,k,-k}","4","2","4","4","成立","no","8","成立","4","成立"
"Q₈（8元）","{1,-1}×{1,-1,i,-i,j,-j,k,-k}","8","2","8","8","成立","no","16","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,i,-i}×{1,-1,i,-i}","4","4","4","4","成立","no","8","成立","4","成立"
"Q₈（8元）","{1,-1,i,-i}×{1,-1,j,-j}","8","4","4","4","成立","yes","8","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,i,-i}×{1,-1,k,-k}","8","4","4","4","成立","yes","8","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,i,-i}×{1,-1,i,-i,j,-j,k,-k}","8","4","8","8","成立","no","16","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,j,-j}×{1,-1,j,-j}","4","4","4","4","成立","no","8","成立","4","成立"
"Q₈（8元）","{1,-1,j,-j}×{1,-1,k,-k}","8","4","4","4","成立","yes","8","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,j,-j}×{1,-1,i,-i,j,-j,k,-k}","8","4","8","8","成立","no","16","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,k,-k}×{1,-1,k,-k}","4","4","4","4","成立","no","8","成立","4","成立"
"Q₈（8元）","{1,-1,k,-k}×{1,-1,i,-i,j,-j,k,-k}","8","4","8","8","成立","no","16","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,i,-i,j,-j,k,-k}×{1,-1,i,-i,j,-j,k,-k}","8","8","8","8","成立","no","16","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1}×{1}","1","1","1","1","成立","no","3","成立","7","成立"
"Q₈（8元）","{1}×{1}×{1,-1}","2","1","2","2","成立","no","6","成立","6","成立"
"Q₈（8元）","{1}×{1}×{1,-1,i,-i}","4","1","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1}×{1}×{1,-1,j,-j}","4","1","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1}×{1}×{1,-1,k,-k}","4","1","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1}×{1}×{1,-1,i,-i,j,-j,k,-k}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1}","2","1","2","2","成立","no","6","成立","6","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1,i,-i}","4","1","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1,j,-j}","4","1","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1,k,-k}","4","1","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1,i,-i,j,-j,k,-k}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1,-1,i,-i}×{1,-1,i,-i}","4","1","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1}×{1,-1,i,-i}×{1,-1,j,-j}","8","1","4","4","成立","no","12","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1,-1,i,-i}×{1,-1,k,-k}","8","1","4","4","成立","no","12","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1,-1,i,-i}×{1,-1,i,-i,j,-j,k,-k}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1,-1,j,-j}×{1,-1,j,-j}","4","1","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1}×{1,-1,j,-j}×{1,-1,k,-k}","8","1","4","4","成立","no","12","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1,-1,j,-j}×{1,-1,i,-i,j,-j,k,-k}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1,-1,k,-k}×{1,-1,k,-k}","4","1","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1}×{1,-1,k,-k}×{1,-1,i,-i,j,-j,k,-k}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1,-1,i,-i,j,-j,k,-k}×{1,-1,i,-i,j,-j,k,-k}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1,-1}×{1,-1}×{1,-1}","2","2","2","2","成立","no","6","成立","6","成立"
"Q₈（8元）","{1,-1}×{1,-1}×{1,-1,i,-i}","4","2","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1,-1}×{1,-1}×{1,-1,j,-j}","4","2","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1,-1}×{1,-1}×{1,-1,k,-k}","4","2","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1,-1}×{1,-1}×{1,-1,i,-i,j,-j,k,-k}","8","2","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1,-1}×{1,-1,i,-i}×{1,-1,i,-i}","4","2","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1,-1}×{1,-1,i,-i}×{1,-1,j,-j}","8","2","4","4","成立","no","12","成立","(G自体)","成立"
"Q₈（8元）","{1,-1}×{1,-1,i,-i}×{1,-1,k,-k}","8","2","4","4","成立","no","12","成立","(G自体)","成立"
"Q₈（8元）","{1,-1}×{1,-1,i,-i}×{1,-1,i,-i,j,-j,k,-k}","8","2","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1,-1}×{1,-1,j,-j}×{1,-1,j,-j}","4","2","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1,-1}×{1,-1,j,-j}×{1,-1,k,-k}","8","2","4","4","成立","no","12","成立","(G自体)","成立"
"Q₈（8元）","{1,-1}×{1,-1,j,-j}×{1,-1,i,-i,j,-j,k,-k}","8","2","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1,-1}×{1,-1,k,-k}×{1,-1,k,-k}","4","2","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1,-1}×{1,-1,k,-k}×{1,-1,i,-i,j,-j,k,-k}","8","2","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1,-1}×{1,-1,i,-i,j,-j,k,-k}×{1,-1,i,-i,j,-j,k,-k}","8","2","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,i,-i}×{1,-1,i,-i}×{1,-1,i,-i}","4","4","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1,-1,i,-i}×{1,-1,i,-i}×{1,-1,j,-j}","8","4","4","4","成立","no","12","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,i,-i}×{1,-1,i,-i}×{1,-1,k,-k}","8","4","4","4","成立","no","12","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,i,-i}×{1,-1,i,-i}×{1,-1,i,-i,j,-j,k,-k}","8","4","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,i,-i}×{1,-1,j,-j}×{1,-1,j,-j}","8","4","4","4","成立","no","12","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,i,-i}×{1,-1,j,-j}×{1,-1,k,-k}","8","4","4","4","成立","no","12","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,i,-i}×{1,-1,j,-j}×{1,-1,i,-i,j,-j,k,-k}","8","4","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,i,-i}×{1,-1,k,-k}×{1,-1,k,-k}","8","4","4","4","成立","no","12","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,i,-i}×{1,-1,k,-k}×{1,-1,i,-i,j,-j,k,-k}","8","4","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,i,-i}×{1,-1,i,-i,j,-j,k,-k}×{1,-1,i,-i,j,-j,k,-k}","8","4","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,j,-j}×{1,-1,j,-j}×{1,-1,j,-j}","4","4","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1,-1,j,-j}×{1,-1,j,-j}×{1,-1,k,-k}","8","4","4","4","成立","no","12","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,j,-j}×{1,-1,j,-j}×{1,-1,i,-i,j,-j,k,-k}","8","4","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,j,-j}×{1,-1,k,-k}×{1,-1,k,-k}","8","4","4","4","成立","no","12","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,j,-j}×{1,-1,k,-k}×{1,-1,i,-i,j,-j,k,-k}","8","4","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,j,-j}×{1,-1,i,-i,j,-j,k,-k}×{1,-1,i,-i,j,-j,k,-k}","8","4","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,k,-k}×{1,-1,k,-k}×{1,-1,k,-k}","4","4","4","4","成立","no","12","成立","4","成立"
"Q₈（8元）","{1,-1,k,-k}×{1,-1,k,-k}×{1,-1,i,-i,j,-j,k,-k}","8","4","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,k,-k}×{1,-1,i,-i,j,-j,k,-k}×{1,-1,i,-i,j,-j,k,-k}","8","4","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1,-1,i,-i,j,-j,k,-k}×{1,-1,i,-i,j,-j,k,-k}×{1,-1,i,-i,j,-j,k,-k}","8","8","8","8","成立","no","24","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1}×{1}×{1}","1","1","1","1","成立","no","4","成立","7","成立"
"Q₈（8元）","{1}×{1}×{1}×{1,-1}","2","1","2","2","成立","no","8","成立","6","成立"
"Q₈（8元）","{1}×{1}×{1}×{1,-1,i,-i}","4","1","4","4","成立","no","16","成立","4","成立"
"Q₈（8元）","{1}×{1}×{1}×{1,-1,j,-j}","4","1","4","4","成立","no","16","成立","4","成立"
"Q₈（8元）","{1}×{1}×{1}×{1,-1,k,-k}","4","1","4","4","成立","no","16","成立","4","成立"
"Q₈（8元）","{1}×{1}×{1}×{1,-1,i,-i,j,-j,k,-k}","8","1","8","8","成立","no","32","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1}×{1,-1}×{1,-1}","2","1","2","2","成立","no","8","成立","6","成立"
"Q₈（8元）","{1}×{1}×{1,-1}×{1,-1,i,-i}","4","1","4","4","成立","no","16","成立","4","成立"
"Q₈（8元）","{1}×{1}×{1,-1}×{1,-1,j,-j}","4","1","4","4","成立","no","16","成立","4","成立"
"Q₈（8元）","{1}×{1}×{1,-1}×{1,-1,k,-k}","4","1","4","4","成立","no","16","成立","4","成立"
"Q₈（8元）","{1}×{1}×{1,-1}×{1,-1,i,-i,j,-j,k,-k}","8","1","8","8","成立","no","32","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1}×{1,-1,i,-i}×{1,-1,i,-i}","4","1","4","4","成立","no","16","成立","4","成立"
"Q₈（8元）","{1}×{1}×{1,-1,i,-i}×{1,-1,j,-j}","8","1","4","4","成立","no","16","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1}×{1,-1,i,-i}×{1,-1,k,-k}","8","1","4","4","成立","no","16","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1}×{1,-1,i,-i}×{1,-1,i,-i,j,-j,k,-k}","8","1","8","8","成立","no","32","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1}×{1,-1,j,-j}×{1,-1,j,-j}","4","1","4","4","成立","no","16","成立","4","成立"
"Q₈（8元）","{1}×{1}×{1,-1,j,-j}×{1,-1,k,-k}","8","1","4","4","成立","no","16","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1}×{1,-1,j,-j}×{1,-1,i,-i,j,-j,k,-k}","8","1","8","8","成立","no","32","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1}×{1,-1,k,-k}×{1,-1,k,-k}","4","1","4","4","成立","no","16","成立","4","成立"
"Q₈（8元）","{1}×{1}×{1,-1,k,-k}×{1,-1,i,-i,j,-j,k,-k}","8","1","8","8","成立","no","32","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1}×{1,-1,i,-i,j,-j,k,-k}×{1,-1,i,-i,j,-j,k,-k}","8","1","8","8","成立","no","32","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1}×{1,-1}","2","1","2","2","成立","no","8","成立","6","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1}×{1,-1,i,-i}","4","1","4","4","成立","no","16","成立","4","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1}×{1,-1,j,-j}","4","1","4","4","成立","no","16","成立","4","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1}×{1,-1,k,-k}","4","1","4","4","成立","no","16","成立","4","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1}×{1,-1,i,-i,j,-j,k,-k}","8","1","8","8","成立","no","32","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1,i,-i}×{1,-1,i,-i}","4","1","4","4","成立","no","16","成立","4","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1,i,-i}×{1,-1,j,-j}","8","1","4","4","成立","no","16","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1,i,-i}×{1,-1,k,-k}","8","1","4","4","成立","no","16","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1,i,-i}×{1,-1,i,-i,j,-j,k,-k}","8","1","8","8","成立","no","32","成立","(G自体)","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1,j,-j}×{1,-1,j,-j}","4","1","4","4","成立","no","16","成立","4","成立"
"Q₈（8元）","{1}×{1,-1}×{1,-1,j,-j}×{1,-1,k,-k}","8","1","4","4","成立","no","16","成立","(G自体)","成立"
